dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1771650002,1,-79.645808,43.584983,0.000000,10.821997,-1.000000,83.918882,1,0,157.944912
1771687207,1,-79.646080,43.584420,0.000000,15.860580,8.171339,66.298205,1,0,156.230812
1771687225,1,-79.646783,43.583797,0.000000,14.834121,14.158362,89.525104,1,0,153.688881
1771687231,1,-79.647536,43.583144,0.000000,4.863360,16.908473,94.668498,1,0,155.081599
1771687236,1,-79.648251,43.582515,0.000000,4.265050,18.212160,90.655739,1,0,155.764961
1771687241,1,-79.648974,43.581875,0.000000,2.440425,18.364496,92.013467,1,0,156.684194
1771687247,1,-79.649808,43.581102,0.000000,2.069714,17.807916,109.150668,1,0,157.279560
1771687253,1,-79.650631,43.580397,0.000000,7.022278,16.674617,102.733981,1,0,158.426765
1771687259,1,-79.651308,43.579817,0.000000,7.991411,12.101229,84.514665,1,0,158.054178
1771687276,1,-79.652346,43.580100,0.000000,2.644242,13.145894,89.540516,1,0,158.340126
1771687281,1,-79.653092,43.580625,0.000000,2.202642,17.055240,83.863061,1,0,159.608617
1771687286,1,-79.653819,43.581194,0.000000,2.135358,16.632463,86.282475,1,0,160.735326
1771687293,1,-79.654621,43.581804,0.000000,2.191671,12.415190,93.752321,1,0,162.605821
1771687299,1,-79.655342,43.582320,0.000000,2.009471,14.798205,81.719708,1,0,163.916415
1771687306,1,-79.656267,43.582998,0.000000,2.026306,14.866345,106.096484,1,0,165.237318
1771687312,1,-79.657088,43.583594,0.000000,2.163391,16.455211,93.713656,1,0,166.349577
1771687318,1,-79.657913,43.584223,0.000000,2.130773,15.213890,96.562112,1,0,167.761506
1771687324,1,-79.658715,43.584775,0.000000,3.181895,14.923257,89.204980,1,0,169.302060
1771687331,1,-79.659642,43.585444,0.000000,2.015270,16.893928,105.503516,1,0,171.255396
1771687336,1,-79.660374,43.585978,0.000000,2.037434,16.147741,83.759845,1,0,171.729655
1771687344,1,-79.661096,43.586698,0.000000,2.784488,11.494333,98.995981,1,0,171.110095
1771687351,1,-79.660809,43.587500,0.000000,2.038134,13.656430,92.073635,1,0,167.798151
1771687358,1,-79.659802,43.587301,0.000000,2.003540,12.382171,84.279331,1,0,165.172796
1771687365,1,-79.659973,43.586529,0.000000,2.472856,14.520385,86.879325,1,0,165.562043
1771687371,1,-79.660731,43.585736,0.000000,3.021058,20.072163,107.287472,1,0,166.549598
1771687375,1,-79.661384,43.585085,0.000000,2.041581,22.847709,89.515298,1,0,167.187517
1771687379,1,-79.662098,43.584411,0.000000,2.000681,23.950954,94.515024,1,0,167.645982
1771687383,1,-79.662853,43.583708,0.000000,2.000009,24.745405,99.090362,1,0,168.196789
1771687388,1,-79.663784,43.582790,0.000000,2.000000,25.678660,126.715078,1,0,168.818848
1771687392,1,-79.664564,43.582020,0.000000,2.165569,27.059039,106.242764,1,0,169.228238
