dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1781327412,1,-79.645824,43.585028,0.000000,9.518880,-1.000000,0.000000,1,0,167.396289
1781373335,1,-79.646555,43.584366,0.000000,20.381858,0.075334,94.317818,1,0,155.096351
1781373423,1,-79.647108,43.583542,0.000000,5.762253,13.328991,101.865982,1,0,156.718297
1781373430,1,-79.647930,43.582815,0.000000,5.568821,14.750194,104.557574,1,0,157.969651
1781373439,1,-79.648745,43.582092,0.000000,3.473157,7.289400,103.855377,1,0,158.881567
1781373476,1,-79.649508,43.581379,0.000000,5.800874,12.653690,100.366269,1,0,158.582985
1781373484,1,-79.650376,43.580577,0.000000,10.400346,13.721721,113.380120,1,0,159.169055
1781373494,1,-79.651184,43.579882,0.000000,8.024785,6.085953,101.102391,1,0,158.689021
1781373519,1,-79.652008,43.579188,0.000000,5.185065,12.105358,101.857186,1,0,160.054062
1781373526,1,-79.652831,43.578454,0.000000,2.036946,16.124157,105.210620,1,0,158.982899
1781373532,1,-79.653644,43.577736,0.000000,2.000163,17.579450,103.327098,1,0,158.644490
1781373538,1,-79.654510,43.576983,0.000000,2.020336,18.188132,109.053434,1,0,158.509340
1781373544,1,-79.655356,43.576240,0.000000,2.009243,17.807707,107.166113,1,0,158.606666
1781373550,1,-79.656208,43.575495,0.000000,2.000028,17.601460,107.646580,1,0,159.044887
1781373556,1,-79.657058,43.574753,0.000000,2.000000,17.898040,107.287039,1,0,159.654293
1781373562,1,-79.657865,43.574015,0.000000,2.000801,17.042795,104.749953,1,0,160.031962
1781373589,1,-79.658727,43.573248,0.000000,2.002684,9.227840,110.046616,1,0,161.275912
1781373597,1,-79.659649,43.572483,0.000000,2.012035,15.388345,113.012226,1,0,160.155472
1781373603,1,-79.660482,43.571764,0.000000,2.002407,18.658909,104.449937,1,0,158.983741
1781373609,1,-79.661373,43.570967,0.000000,2.000005,18.977635,114.114116,1,0,157.960991
1781373615,1,-79.662288,43.570179,0.000000,2.000000,19.367202,114.580864,1,0,155.709340
1781373621,1,-79.663233,43.569385,0.000000,2.006444,19.969297,116.662208,1,0,153.617024
1781373626,1,-79.664016,43.568682,0.000000,2.000059,19.908071,100.506864,1,0,151.499305
1781373632,1,-79.664990,43.567867,0.000000,2.071486,20.090247,119.959661,1,0,148.032404
1781373638,1,-79.665980,43.567064,0.000000,2.000152,20.329878,119.819891,1,0,143.260682
1781373643,1,-79.666842,43.566334,0.000000,2.000001,21.799997,106.902337,1,0,140.588113
1781373648,1,-79.667695,43.565596,0.000000,2.000000,21.240292,107.108999,1,0,139.684348
1781373653,1,-79.668523,43.564872,0.000000,2.002065,20.746805,104.620164,1,0,138.956869
1781373659,1,-79.669456,43.564038,0.000000,2.000010,19.662949,119.447975,1,0,136.913940
1781373664,1,-79.670236,43.563336,0.000000,2.000000,20.022071,100.271295,1,0,135.085860
1781373669,1,-79.671049,43.562599,0.000000,2.001398,21.389259,104.972215,1,0,133.376548
1781373674,1,-79.671883,43.561838,0.000000,2.000009,21.669032,108.117952,1,0,133.964646
1781373679,1,-79.672729,43.561069,0.000000,2.000000,22.178370,109.417520,1,0,134.948938
1781373684,1,-79.673580,43.560298,0.000000,2.000000,22.094491,109.843556,1,0,135.391460
1781373689,1,-79.674417,43.559534,0.000000,5.884877,21.403866,108.529722,1,0,136.553586
1781373694,1,-79.674973,43.558724,0.000000,2.039059,19.797311,100.584646,1,0,137.287839
1781373702,1,-79.675086,43.557793,0.000000,2.000078,8.150263,103.841915,1,0,138.484853
1781373728,1,-79.674849,43.556889,0.000000,2.003767,11.960689,102.249131,1,0,137.822444
1781373736,1,-79.674653,43.555892,0.000000,2.000007,15.382187,111.899076,1,0,137.135770
1781373743,1,-79.674944,43.554918,0.000000,2.000000,15.859964,110.742265,1,0,137.790893
1781373751,1,-79.675365,43.553977,0.000000,2.052859,11.672018,109.945705,1,0,139.214577
1781373777,1,-79.675598,43.553441,0.000000,2.003622,0.000000,62.457910,1,0,140.784910
1781373824,1,-79.676193,43.552099,0.000000,2.000604,15.399770,156.664700,1,0,141.631233
1781373831,1,-79.676633,43.551092,0.000000,2.014271,18.127155,117.397447,1,0,140.285690
